76729795|BS Bio|USC|12 - Mar - 09
76753286|BS Radiology|CSULB|28 - Mar - 10
77179918|BS Nursing|CSUSB|10 - Feb - 09
77503039|BS Bio|UCI|2 - Jan - 10
77997406|BS Chem|MIT|17 - Sep - 10
78285008|AA Bio|CSULB|25 - Aug - 09
78712041|AA BioChem|UCI|16 - Aug - 10
79200706|AA Bio|UCI|27 - Feb - 10
80198089|BS Nursing|MIT|29 - Oct - 09
80754513|BS Chem|UCI|13 - Nov - 10
81474751|BS Bio|CSUSB|9 - Aug - 10
81814200|BS Bio|USC|14 - Jun - 09
82597127|AA BioChem|CSUSB|22 - Feb - 09
82893235|BA Nursing|UCR|24 - Sep - 10
83055191|BS Radiology|CSULB|13 - Apr - 10
84126229|BA Nursing|CSUSB|22 - Jul - 10
84482892|AS Nursing|CSULA|9 - May - 10
84955977|AS Nursing|CSUSB|27 - Aug - 10
85172718|AA Nursing|UCR|21 - Nov - 09
85475348|BS Nursing|USC|16 - Aug - 10
85529460|BS Radiology|UCR|18 - Apr - 09
85713071|AA Nursing|UCR|14 - Apr - 10
85809763|AA Nursing|CSUSB|19 - Mar - 10
85843246|AA Nursing|CSULA|17 - Nov - 10
85921678|BS Bio|CSUSB|14 - Aug - 09
86143294|AA BioChem|CSUSB|11 - Jan - 09
86638197|BA Nursing|UCR|16 - Jul - 09
86967062|AA Nursing|CSULB|27 - May - 09
88843607|AA Nursing|MIT|28 - Jul - 09
89100550|AA Bio|MIT|23 - Oct - 09
90513974|BA Nursing|UCI|19 - Aug - 10
90732055|BS Chem|MIT|22 - Dec - 08
91994263|BS Radiology|CSUSB|18 - Jun - 10
92162395|BS Chem|UCI|11 - Feb - 09
92819244|BA Nursing|MIT|4 - Jul - 10
93098085|BS Nursing|MIT|13 - Jun - 09
93741577|AS Nursing|Loma Linda|31 - Jul - 10
94568662|AA Bio|UCI|25 - Nov - 09
94964429|BS Radiology|USC|14 - Feb - 10
96007188|BS Radiology|CSULA|23 - Sep - 10
96324730|AA BioChem|UCI|23 - Sep - 10
97314000|BA Nursing|CSUSB|9 - Oct - 09
97353745|AA Bio|CSUSB|11 - Aug - 09
98110169|BS Nursing|UCI|14 - Oct - 09
98204310|AA Bio|CSULA|25 - Oct - 09
98425068|BA Nursing|CSULB|29 - Apr - 10
99428000|AA Bio|USC|1 - Jun - 10
99907253|BS Nursing|CSULB|7 - Nov - 09
